JB,BA,DR,MAKE,,
JB,BA,MISS,,,
JB,BA,FT,,,
JB,KN,FOUL NON-SHOOTING,,,
JB,BA,JB,MISS,,
JB,FOUL NON-SHOOTING,,,,
JB,BA,DR,MISS,,
AI,KN,JB,MISS,,
JB,TH,JC,MISS,,
JB,TH,KN,MAKE,,
JB,KN,MISS,,,
JB,MISS,,,,
BA,MISS,,,,
JB,BA,DR,JC,MISS,
JB,TURNOVER,,,,
JB,DR,BA,DR,TURNOVER,
BA,TH,MISS,,,
TH,DR,BA,MAKE,,
JB,FOUL NON-SHOOTING,,,,
JB,TH,JB,DR,MAKE,
JB,MISS,,,,
JC,JB,BA,DR,JB,MAKE
JB,JC,JB,MAKE,,
JB,FT,,,,
JC,JB,FT,,,
